"","x","y"
"1","DD0001 DESEMBARGADOR","DESEMBARGADOR"
"2","DD0001 - DESEMBARGADOR","DESEMBARGADOR"
"3","DD0002 - DESEMBARGADOR PRESIDENTE","DESEMBARGADOR"
"4","DD0002 DESEMBARGADOR PRESIDENTE","DESEMBARGADOR"
"5","DD0004 - DESEMBARGADOR CORREGEDOR","DESEMBARGADOR"
"6","DD0004 DESEMBARGADOR CORREGEDOR","DESEMBARGADOR"
"7","DD0005 - DESEMBARGADOR PRIMEIRO VICE-PRESIDENTE","DESEMBARGADOR"
"8","DD0005 DESEMBARGADOR PRIMEIRO VICE-PRESIDENTE","DESEMBARGADOR"
"9","DD0006 - DESEMBARGADOR SEGUNDO VICE-PRESIDENTE","DESEMBARGADOR"
"10","DD0006 DESEMBARGADOR SEGUNDO VICE-PRESIDENTE","DESEMBARGADOR"
"11","Desembargador","DESEMBARGADOR"
"12","DESEMBARGADOR","DESEMBARGADOR"
"13","DESEMBARGADOR APOSENTADO","DESEMBARGADOR"
"14","JD0001 - JUIZ DE DIREITO","JUIZ DE DIREITO"
"15","JD0001 JUIZ DE DIREITO","JUIZ DE DIREITO"
"16","JD0002 - JUIZ DE DIREITO SUBSTITUTO DE SEGUNDO GRAU","JUIZ DE DIREITO"
"17","JD0002 JUIZ DE DIREITO SUBSTITUTO DE SEGUNDO GRAU","JUIZ DE DIREITO"
"18","JDT001 - JUIZ DE DIREITO DE TURMA RECURSAL","JUIZ DE DIREITO"
"19","JDT001 JUIZ DE DIREITO DE TURMA RECURSAL","JUIZ DE DIREITO"
"20","JS0002 - JUIZ DE DIREITO SUBSTITUTO DO DF","JUIZ DE DIREITO"
"21","JS0002 JUIZ DE DIREITO SUBSTITUTO DO DF","JUIZ DE DIREITO"
"22","Juiz de Direito","Juiz de Direito"
"23","JUIZ DE DIREITO AUX.DA 2A.ENTRANCIA","JUIZ DE DIREITO"
"24","Juiz de Direito Auxiliar - Capital/Interior","JUIZ DE DIREITO"
"25","Juiz de Direito Auxiliar da Capital","JUIZ DE DIREITO"
"26","Juiz de Direito da Turma Recursal dos Juizados Especiais","JUIZ DE DIREITO"
"27","Juiz de Direito de 1ªentrância","Entrância inicial"
"28","Juiz de Direito de 2ªentrância","Entrância intermediária"
"29","Juiz de Direito de Comarca de Entrância Final","Entrância final"
"30","Juiz de Direito de Comarca de Entrância Inicial","Entrância inicial"
"31","Juiz de Direito de Comarca de Entrância Intermediária","Entrância intermediária"
"32","JUIZ DE DIREITO DE ENT. ESP.","Entrância final"
"33","JUIZ DE DIREITO DE ENT. ESP. APOSENTADO","Entrância especial"
"34","JUIZ DE DIREITO DE ENT. ESP. APOSENTADO LEI 10887/2004","Entrância especial"
"35","JUIZ DE DIREITO DE ENTRANCIA FINAL","Entrância final"
"36","Juiz de Direito de Entrância Final","Entrância final"
"37","JUIZ DE DIREITO DE ENTRANCIA INICIAL","Entrância inicial"
"38","Juiz de Direito de Entrância Inicial","Entrância inicial"
"39","Juiz de Direito de Entrância Intermediária","Entrância intermediária"
"40","JUIZ DE DIREITO DE ENTRANC.INICIAL","Entrância incial"
"41","Juiz de Direito Entr. Especial","Entrância especial"
"42","Juiz de Direito Substituto","Entrância inicial"
"43","JUIZ DE DIREITO SUBSTITUTO","Entrância inicial"
"44","Juiz de Direito Substituto em 2º Grau","Entrância final"
"45","Juiz de Direito Substituto em Segundo Grau","Entrância final"
"46","JUIZ DE ENTRANCIA COMUM","Entrância intermediária"
"47","JUIZ DE ENTRANCIA COMUM APOSENTADO","Entrância comum"
"48","JUIZ DE ENTRANCIA COMUM APOSENTADO LEI 10887/2004","Entrância comum"
"49","Juiz de entrância especial","Entrância final"
"50","Juiz de Primeira Entrância","Entrância inicial"
"51","Juiz de Segunda Entrância","Entrância intermediária"
"52","Juiz Dir.1ª Entrância","Entrância inicial"
"53","Juiz Dir.2ª Entrância","Entrância intermediária"
"54","Juiz Dir.3ª Entrância","Entrância final"
"55","Juiz Entrância Intermediária","Entrância intermediária"
"56","JUIZ SUBS.DA CAPITAL-DISPONIBILID.","Entrância inicial"
"57","Juiz Substituto","Entrância inicial"
"58","JUIZ SUBSTITUTO","Entrância inicial"
"59","JUIZ SUBSTITUTO DE CARREIRA","Entrância incial"
"60","PENSÃO CIVIL","Pensão civil"
"61","",""
