id;processo;assunto;subarea;classe;juiz;vara;foro;digital;apensado_ao;controle;outros_assuntos;processo_principal;situacao;valor_da_acao;data_recebimento;tipo_recebimento;recurso
8862;00076930820188260001;Protesto Indevido de Título;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;Jorge Alberto Quadros de Carvalho Silva;CEJUSC (Pré-Processual);Foro Regional I - Santana;TRUE;NA;2018/000732;NA;0007693-08.2018.8.26.0001;Extinto;NA;2018-03-27;Direcionada;NA
269724;00203438420188260196;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Márcia Christina Teixeira Branco Mendonça;Vara do Juizado Especial Cível;Foro de Franca;TRUE;NA;2018/004641;NA;0020343-84.2018.8.26.0196;NA;900;2018-12-12;Direcionada;NA
611759;00233155120188260576;Interpretação / Revisão de Contrato;DIREITO DO CONSUMIDOR;Cumprimento de sentença;GISLAINE DE BRITO FALEIROS VENDRAMINI;1ª Vara Cível;Foro de São José do Rio Preto;TRUE;NA;2015/000177;NA;1001910-44.2015.8.26.0576;NA;NA;2018-07-27;NA;NA
155632;00197755520188260071;Empréstimo consignado;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;3ª Vara Cível;Foro de Bauru;TRUE;1017056-20.2017.8.26.0071;2017/000901;NA;1017056-20.2017.8.26.0071;NA;2218.41;2018-07-10;NA;NA
273597;00002795020188260197;Turismo;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;ALEXANDRE PEREIRA DA SILVA;Vara do Juizado Especial Cível e Criminal;Foro de Francisco Morato;TRUE;NA;2018/000047;NA;0000279-50.2018.8.26.0197;NA;6000;2018-01-17;Livre;NA
642940;00007254420188260588;Empréstimo consignado;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;Vara Única;Foro de São Sebastião da Grama;TRUE;NA;2018/000484;NA;1000350-26.2018.8.26.0588;NA;NA;2018-07-19;NA;NA
229422;00064537620188260132;Inclusão Indevida em Cadastro de Inadimplentes;DIREITO DO CONSUMIDOR;Cumprimento Provisório de Sentença;NA;2ª Vara Cível;Foro de Catanduva;TRUE;NA;2015/001382;NA;1007189-82.2015.8.26.0132;NA;NA;2018-08-20;NA;NA
616012;00311092620188260576;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;5ª Vara Cível;Foro de São José do Rio Preto;TRUE;1034789-07.2015.8.26.0576;2015/002773;NA;1034789-07.2015.8.26.0576;NA;NA;2018-08-20;NA;NA
351043;00014676920188260297;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;Vara do Juizado Especial Cível e Criminal;Foro de Jales;TRUE;NA;2017/002062;NA;0003887-81.2017.8.26.0297;NA;NA;2018-03-20;NA;NA
665420;00273368920188260602;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Gustavo Scaf de Molon;Juizado Especial Cível Anexo FADI;Foro de Sorocaba;TRUE;NA;2018/001849;NA;0027336-89.2018.8.26.0602;NA;12910.55;2018-12-04;Livre;NA
